origin,actual,RW,RWD,AR,ECM,GBM
2014-05-31,0.9142361711696888,0.9107962125565146,0.9153126379925294,0.9102525890249816,0.9069979137155266,0.9017737386168884
2014-06-30,0.9138017612488069,0.9142361711696888,0.9188111956985336,0.9193615261729563,0.9160151667582158,0.9141777572726852
2014-07-31,0.9384706739255668,0.9138017612488069,0.918333009244,0.9166318844896957,0.9131387642163579,0.9282088942209639
2014-08-31,0.9133683964236182,0.9384706739255668,0.9430484022877175,0.9388091317024492,0.9381695261447414,0.922894661975097
2014-09-30,0.8990893695156085,0.9133683964236182,0.9175724135419256,0.9246557851738533,0.92156594626103,0.9181021665063371
2014-10-31,0.9013733896859428,0.8990893695156085,0.9033982118609848,0.895835556744776,0.8863241143860561,0.8784120630471325
2014-11-30,0.8991658832707323,0.9013733896859428,0.9055175535405535,0.8939133641723618,0.894690180519152,0.9047894101241207
2014-12-31,0.9051671466554928,0.8991658832707323,0.9032940732559216,0.8951291209506376,0.8987809638167523,0.9054747497545136
2015-01-31,0.9017112821109976,0.9051671466554928,0.9093481433123564,0.897629916315623,0.9029775146158285,0.9022990895947336
2015-02-28,0.9134263474104728,0.9017112821109976,0.9059338295796365,0.905868406074743,0.9024561276594462,0.9057438975206339
2015-03-31,0.931255799889943,0.9134263474104728,0.9175549429117675,0.9152223880878813,0.911393720956538,0.9310388558017625
2015-04-30,0.9351799383460774,0.931255799889943,0.93548461041172,0.9348560730888065,0.934711757576814,0.9174960895225174
2015-05-31,0.9427374704827116,0.9351799383460774,0.9391464774835628,0.9445099751409286,0.9399163496881565,0.9462631278860464
2015-06-30,0.9402309394201634,0.9427374704827116,0.9466631127571635,0.9490318975541155,0.9419805225959839,0.937565371453814
2015-07-31,0.9668430110369864,0.9402309394201634,0.9436181373590196,0.9481977065769209,0.939813907779072,0.9466387215897207
2015-08-31,0.9476955867029008,0.9668430110369864,0.9706078672641926,0.9678971905451935,0.9649730852665973,0.9551083463307268
2015-09-30,0.9341157501560606,0.9476955867029008,0.9508631335654157,0.9563866389744391,0.9533215996078486,0.9314574453293586
2015-10-31,0.9332275715060924,0.9341157501560606,0.9374675340922437,0.9341384159426214,0.9215092622797145,0.9230395128503542
2015-11-30,0.9265824179107028,0.9332275715060924,0.9365449990577576,0.9273504594827946,0.9242091288582401,0.9268452780718452
2015-12-31,0.9289396302851682,0.9265824179107028,0.9295417838832268,0.9231052967151729,0.9224309915037013,0.9119618194143803
2016-01-31,0.920329423727868,0.9289396302851682,0.9318294896171753,0.9193170423838292,0.9233805528845043,0.9219496087846089
2016-02-29,0.9279867716373464,0.920329423727868,0.923127071356359,0.9213730450039882,0.9178917630291189,0.9128677505140501
2016-03-31,0.9439815320193412,0.9279867716373464,0.9308941696504741,0.9264382134152938,0.9224444174443933,0.9265308411779536
2016-04-30,0.9471606658100163,0.9439815320193412,0.9466931325591413,0.9444750244350302,0.9455220954261929,0.9400092407183798
2016-05-31,0.939162307025907,0.9471606658100163,0.9496510407495375,0.9544476802061073,0.9508382602500116,0.9604632732464492
2016-06-30,0.940326771489119,0.939162307025907,0.9413562945114269,0.9445015041872326,0.9366069731013189,0.9375836640637657
2016-07-31,0.9426080401915284,0.940326771489119,0.9420238549823942,0.9430329859482884,0.933983150675111,0.9436179142231901
2016-08-31,0.9435680335870404,0.9426080401915284,0.9436709878808542,0.9421390148679801,0.9416896457778082,0.9434654629923681
2016-09-30,0.939990529229482,0.9435680335870404,0.9447301001197095,0.9416237994087615,0.9416177058327463,0.9330602565782645
2016-10-31,0.9380376038794964,0.939990529229482,0.9412260400791856,0.9402497353990185,0.9360112581181074,0.9242113385582471
2016-11-30,0.9400738164468352,0.9380376038794964,0.9392383973874987,0.9389235875244717,0.932449820675843,0.9386106465766548
2016-12-31,0.94463908687841,0.9400738164468352,0.941421861057056,0.9390076083662785,0.9352617907269911,0.9464703412839666
2017-01-31,0.960093354532548,0.94463908687841,0.9460503560375424,0.9442642614020901,0.9417171141483213,0.9487275564301495
2017-02-28,0.9591871689944398,0.960093354532548,0.961546953924827,0.9613624450460758,0.9582003634353736,0.956828474990075
2017-03-31,0.9538821167647464,0.9591871689944398,0.9610049679085,0.9664896707709901,0.9607760192307642,0.9663283674119689
2017-04-30,0.9646772633438588,0.9538821167647464,0.9553365759364018,0.9586702909237598,0.949669971235318,0.9559322560883496
2017-05-31,0.969363989437199,0.9646772633438588,0.9661401723486746,0.9652612285299274,0.9601129626874315,0.9707116519994479
2017-06-30,0.9699465974994448,0.969363989437199,0.9708539118832065,0.9725349059037157,0.9706177357788052,0.9683055112060116
2017-07-31,0.9732850441114004,0.9699465974994448,0.970840861926533,0.9712188341376823,0.9683410376713817,0.9701737182553017
2017-08-31,0.9805649474729868,0.9732850441114004,0.9742349493153545,0.9761635596811589,0.9702953892172135,0.9813356161422115
2017-09-30,0.9801704480600372,0.9805649474729868,0.9815156368399807,0.9843694650602401,0.9785916927207913,0.9815615144096503
2017-10-31,0.9778047257537588,0.9801704480600372,0.9815169449195266,0.9827074609917155,0.9791702417645457,0.9792192496665607
