date,sigma_all_observed,sigma_balanced,sigma_balanced_ex_kwuntong
1999-01-31,0.1955649442370448,,0.1955649442370448
1999-02-28,0.16889137805030688,,0.16889137805030688
1999-03-31,0.15426147899529027,,0.15426147899529027
1999-04-30,0.13635898034009267,,0.13635898034009267
1999-05-31,0.09536248372083553,,0.09536248372083553
1999-06-30,0.1018008834937996,,0.1018008834937996
1999-07-31,0.11966283319861296,,0.11966283319861296
1999-08-31,0.09590931000316937,,0.09590931000316937
1999-09-30,0.17185483420079567,,0.17185483420079567
1999-10-31,0.07363223333252839,,0.07363223333252839
1999-11-30,0.11541573770202457,,0.11541573770202457
1999-12-31,0.11769491852939229,,0.11769491852939229
2000-01-31,0.1148295615800094,,0.1148295615800094
2000-02-29,0.1596855967595683,,0.1596855967595683
2000-03-31,0.17996263796699255,,0.17996263796699255
2000-04-30,0.14679753901953632,,0.14679753901953632
2000-05-31,0.2911855038879381,,0.2911855038879381
2000-06-30,0.16603077056929438,,0.16603077056929438
2000-07-31,0.2667192732690665,,0.2667192732690665
2000-08-31,0.21899328846446942,,0.21899328846446942
2000-09-30,0.1504084522573656,,
2000-10-31,0.21562496983392457,,0.21562496983392457
2000-11-30,0.09281692420227153,,
2000-12-31,0.12018628838047338,,
2001-01-31,0.10705800214314776,,
2001-02-28,0.09137115521073819,,0.09137115521073819
2001-03-31,0.09104936126373128,,0.09104936126373128
2001-04-30,0.1160561123420136,,
2001-05-31,0.18891576999431128,,0.18891576999431128
2001-06-30,0.3800552466102955,,
2001-07-31,0.1730108809028916,,
2001-08-31,0.2127757117869343,,
2001-09-30,0.32064708643283296,,0.32064708643283296
2001-10-31,0.18618708040968307,,0.18618708040968307
2001-11-30,0.1538788096297753,,0.1538788096297753
2001-12-31,0.12033240296366711,,
2002-01-31,0.1480585178250103,,
2002-02-28,0.2894592655169637,,
2002-03-31,0.23012952760013644,,
2002-04-30,0.08069287357271683,,0.08069287357271683
2002-05-31,0.142043641230747,,
2002-06-30,0.18414195556884408,,
2002-07-31,0.10056820361950097,,
2002-08-31,0.11432713310512012,,0.11432713310512012
2002-09-30,0.09948026545870364,,0.09948026545870364
2002-10-31,0.07887229496246022,,
2002-11-30,0.15701455049699561,,0.15701455049699561
2002-12-31,0.08357674282978923,,0.08357674282978923
2003-01-31,0.2564580739155172,,
2003-02-28,0.20468654065029745,,0.20468654065029745
2003-03-31,0.2116565258938746,,0.2116565258938746
2003-04-30,0.17670069654442577,,0.17670069654442577
2003-05-31,0.17328426841854913,,
2003-06-30,0.13667691900527304,,
2003-07-31,0.17635165985361356,,
2003-08-31,0.17296477832313548,,
2003-09-30,0.11737954877032725,,0.11737954877032725
2003-10-31,0.10803092440782455,,
2003-11-30,0.08708722584646446,,
