scenario,year,vacancy,stock,real_rent_log,completions,occupied,norm_year
gdp_base|pipe_halt,2029,0.16262850423358832,13791664.0,0.3113596194804395,61566.0,11548746.312787773,
gdp_base|pipe_halt,2030,0.15371822878857677,13853230.0,0.23700855262448503,61566.0,11723736.021399224,
gdp_base|pipe_halt,2031,0.14320205785775164,13914796.0,0.1733376783972692,61566.0,11922168.57812919,
gdp_base|pipe_halt,2032,0.13139651830542698,13976362.0,0.1222718837718107,61566.0,12139916.694623725,
gdp_base|pipe_halt,2033,0.11862116266461953,14037928.0,0.08535665466849995,61566.0,12372732.659237783,
gdp_base|pipe_halt,2034,0.10519646857644505,14099494.0,0.06375444927433331,61566.0,12616277.022485225,
gdp_base|pipe_halt,2035,0.09144039819936245,14161060.0,0.058243589173410465,61566.0,12866167.034674937,2035.0
gdp_base|pipe_base,2026,0.18521478765783828,13750620.0,0.5736459166818703,205220.0,11203801.836536376,
gdp_base|pipe_base,2027,0.1912117739585525,13955840.0,0.4722220775836921,205220.0,11287319.076518275,
gdp_base|pipe_base,2028,0.19424160521827039,14161060.0,0.36361002424019645,205220.0,11410392.97400776,
gdp_base|pipe_base,2029,0.19455844236255138,14366280.0,0.2513663007327355,205220.0,11571198.940655725,
gdp_base|pipe_base,2030,0.19241849183924065,14571500.0,0.13874280425936086,205220.0,11767673.946164506,
gdp_base|pipe_base,2031,0.18807985788566006,14776720.0,0.028684333294566183,205220.0,11997516.60238381,
gdp_base|pipe_base,2032,0.1818030455323354,14981940.0,-0.07617368717284587,205220.0,12258177.680017283,
gdp_base|pipe_base,2033,0.1738515867357262,15187160.0,-0.17350808332115958,205220.0,12546848.135990648,
gdp_base|pipe_base,2034,0.16449238124308185,15392380.0,-0.2613115606834767,205220.0,12860450.760801611,
gdp_base|pipe_base,2035,0.1539954473402373,15597600.0,-0.33789674090893573,205220.0,13195640.610565916,
gdp_base|pipe_heavy,2026,0.19124985028499664,13853230.0,0.5736459166818703,307830.0,11203801.836536376,
gdp_base|pipe_heavy,2027,0.2028156798914189,14161060.0,0.4649882236156154,307830.0,11288974.988116823,
gdp_base|pipe_heavy,2028,0.21094199663539637,14468890.0,0.3424672904205816,307830.0,11416793.45430208,
gdp_base|pipe_heavy,2029,0.2158809493828897,14776720.0,0.21020584710064322,307830.0,11586707.657634865,
gdp_base|pipe_heavy,2030,0.2178872271824822,15084550.0,0.07202438850699089,307830.0,11797819.227204489,
gdp_base|pipe_heavy,2031,0.21721583410292622,15392380.0,-0.06856187042068548,307830.0,12048911.3394708,
gdp_base|pipe_heavy,2032,0.21412173777559695,15700210.0,-0.20834337224926738,307830.0,12338453.751358194,
gdp_base|pipe_heavy,2033,0.20886059785717725,16008040.0,-0.3444161733769916,307830.0,12664591.195078392,
gdp_base|pipe_heavy,2034,0.2016899498563688,16315870.0,-0.47418277352111693,307830.0,13025122.997836968,
gdp_base|pipe_heavy,2035,0.19287035486659876,16623700.0,-0.5953543641849922,307830.0,13417481.081804123,
gdp_strong|pipe_halt,2026,0.1756636281090005,13606966.0,0.5736459166818703,61566.0,11216716.984884186,
gdp_strong|pipe_halt,2027,0.17164004143759537,13668532.0,0.48367045810109954,61566.0,11322464.601128902,
gdp_strong|pipe_halt,2028,0.1643282646559835,13730098.0,0.3985178224481083,61566.0,11473854.822103411,
gdp_strong|pipe_halt,2029,0.15412200431349266,13791664.0,0.3221293585615098,61566.0,11666065.10150176,
gdp_strong|pipe_halt,2030,0.14141627072100715,13853230.0,0.2579745037422814,61566.0,11894157.875959622,
gdp_strong|pipe_halt,2031,0.12661271872342128,13914796.0,0.2090492210159284,61566.0,12153005.847958213,
gdp_strong|pipe_halt,2032,0.11012309405032905,13976362.0,0.177868034743101,61566.0,12437241.772992555,
gdp_strong|pipe_halt,2033,0.09237031745751922,14037928.0,0.1664519353041294,61566.0,12741240.134194203,2033.0
gdp_strong|pipe_halt,2034,0.07378689667826621,14099494.0,0.1763149842906222,61566.0,13059136.093006166,2033.0
gdp_strong|pipe_halt,2035,0.05481054508192029,14161060.0,0.20845282319221725,61566.0,13384884.582462221,2033.0
gdp_strong|pipe_base,2026,0.18427554649287192,13750620.0,0.5736459166818703,205220.0,11216716.984884186,
gdp_strong|pipe_base,2027,0.18852358675908631,13955840.0,0.47334788751275525,205220.0,11324834.986964073,
gdp_strong|pipe_base,2028,0.18910513801165874,14161060.0,0.3679579968610406,205220.0,11483130.79430862,
gdp_strong|pipe_base,2029,0.18637060534688654,14366280.0,0.26187103691676716,205220.0,11688827.69981713,
gdp_strong|pipe_base,2030,0.18066318429512773,14571500.0,0.1590617910891427,205220.0,11938966.410043547,
gdp_strong|pipe_base,2031,0.17232311827462343,14776720.0,0.06309367566453276,205220.0,12230349.531729007,
gdp_strong|pipe_base,2032,0.161691940556269,14981940.0,-0.022877721680474847,205220.0,12559481.04810241,
gdp_strong|pipe_base,2033,0.149116026136612,15187160.0,-0.09610618794517035,205220.0,12922511.052499091,
gdp_strong|pipe_base,2034,0.13494892801941383,15392380.0,-0.15426068827992773,205220.0,13315194.819332534,
gdp_strong|pipe_base,2035,0.11955210131633787,15597600.0,-0.19543396981671549,205220.0,13732874.14450829,
gdp_strong|pipe_heavy,2026,0.19031756602004113,13853230.0,0.5736459166818703,307830.0,11216716.984884186,
gdp_strong|pipe_heavy,2027,0.2001659255956444,14161060.0,0.4661056947416109,307830.0,11326498.317684544,
gdp_strong|pipe_heavy,2028,0.2059109924304111,14468890.0,0.3467608571086445,307830.0,11489586.500733549,
gdp_strong|pipe_heavy,2029,0.20790607006259942,14776720.0,0.2205297654155258,307830.0,11704550.216384586,
gdp_strong|pipe_heavy,2030,0.20649220464424278,15084550.0,0.09190729833198766,307830.0,11969708.014433688,
gdp_strong|pipe_heavy,2031,0.20200103278917048,15392380.0,-0.03502045626905195,307830.0,12283103.342916628,
gdp_strong|pipe_heavy,2032,0.19475890128653894,15700210.0,-0.1565649226836645,307830.0,12642454.350432068,
gdp_strong|pipe_heavy,2033,0.18509133473963868,16008040.0,-0.2694286967932974,307830.0,13045090.509834474,
gdp_strong|pipe_heavy,2034,0.17332713840669822,16315870.0,-0.3707045605617466,307830.0,13487886.942284305,
gdp_strong|pipe_heavy,2035,0.1598015760441892,16623700.0,-0.4578794143520534,307830.0,13967206.540314212,
