date,p_regime0
1993-02-28,0.00026085824031924436
1993-03-31,0.01823263207775523
1993-04-30,0.008865931737897598
1993-05-31,0.022797510946371065
1993-06-30,0.026018311503364817
1993-07-31,9.726552086127914e-05
1993-08-31,0.06320474751789548
1993-09-30,0.07351100073703196
1993-10-31,0.03010466256037237
1993-11-30,2.5127220060437726e-05
1993-12-31,0.0018113066216884622
1994-01-31,8.592760193004921e-06
1994-02-28,0.00015202248494078054
1994-03-31,0.038466412150800024
1994-04-30,0.05591687478599744
1994-05-31,0.5255663348389522
1994-06-30,0.6985300563218617
1994-07-31,0.753516529760624
1994-08-31,0.7862424843965533
1994-09-30,0.8490742756027051
1994-10-31,0.8668137874200198
1994-11-30,0.8400989846107799
1994-12-31,0.7870728024266636
1995-01-31,0.6549900711984343
1995-02-28,0.46089654529870977
1995-03-31,0.03459371989007944
1995-04-30,0.00010444675862844355
1995-05-31,0.004806698839890199
1995-06-30,0.00014289314171204835
1995-07-31,0.0035728304498531933
1995-08-31,5.992821077053236e-06
1995-09-30,0.010601343471502657
1995-10-31,4.074746093006562e-11
1995-11-30,0.028891848697195636
1995-12-31,0.02208985036544254
1996-01-31,6.437990278455652e-11
1996-02-29,0.029374421447581147
1996-03-31,0.02012718204340317
1996-04-30,3.127775054072022e-05
1996-05-31,0.03922286204435642
1996-06-30,0.03243004969438252
1996-07-31,0.0034960347081822137
1996-08-31,0.037746120938413716
1996-09-30,0.04319094675627591
1996-10-31,0.0034758225102609866
1996-11-30,0.01911196356880696
1996-12-31,0.05625904590569461
1997-01-31,0.23153271552419707
1997-02-28,0.44730857480593456
1997-03-31,0.509802436736785
1997-04-30,0.5747248289272349
1997-05-31,0.5990185056041112
1997-06-30,0.5479685240626625
1997-07-31,0.44815438842726707
1997-08-31,0.31359983293033256
1997-09-30,0.0008209462406709593
1997-10-31,0.00463757617558671
1997-11-30,0.13669647060057585
1997-12-31,0.16521229471499205
1998-01-31,0.13330263285550928
1998-02-28,0.0015997427866172728
1998-03-31,0.000342832608679145
1998-04-30,0.011836679137174089
1998-05-31,2.4534395617183177e-05
1998-06-30,0.00038506119518996653
1998-07-31,1.01275981366203e-05
1998-08-31,0.0009879891640278574
1998-09-30,7.277659055962831e-10
1998-10-31,0.004798860751273082
1998-11-30,3.773180948950133e-09
1998-12-31,0.002808869859949217
1999-01-31,7.0858960605942215e-06
1999-02-28,0.01781593503124889
1999-03-31,5.485904795558853e-05
1999-04-30,4.404778755823357e-05
1999-05-31,0.03676637333622408
1999-06-30,0.31417632097220244
1999-07-31,0.4916508667705319
1999-08-31,0.5775781652219536
1999-09-30,0.6468317340624565
1999-10-31,0.737229630541741
1999-11-30,0.7629673051893344
1999-12-31,0.7253748735880592
2000-01-31,0.7835991682444577
2000-02-29,0.7889847286607391
2000-03-31,0.8100504016258497
2000-04-30,0.772296412165502
2000-05-31,0.8572270166476821
2000-06-30,0.9039701364337165
2000-07-31,0.932435876727549
2000-08-31,0.927196430956576
2000-09-30,0.8823689937129163
2000-10-31,0.8030021968384503
2000-11-30,0.6961618191251091
2000-12-31,0.38845009535427266
2001-01-31,5.820521510050537e-06
2001-02-28,0.1803536263066429
2001-03-31,0.2356528562157438
2001-04-30,0.3290546464745337
2001-05-31,0.3536804619362938
2001-06-30,0.29114617346425814
2001-07-31,0.3081098693207276
2001-08-31,0.23693433142087744
2001-09-30,0.057270443452891416
2001-10-31,0.038884258774555286
2001-11-30,0.0032058781861195036
2001-12-31,0.016908745195457445
2002-01-31,0.002356350478307666
2002-02-28,0.0017128743150009453
2002-03-31,0.0001688635851500425
2002-04-30,0.39985013255346685
2002-05-31,0.736487316985949
2002-06-30,0.8515771139084134
2002-07-31,0.8865613187328653
2002-08-31,0.888850466306399
2002-09-30,0.8746547916742765
2002-10-31,0.7983160486720386
2002-11-30,0.7315259918744832
2002-12-31,0.6550034729502112
2003-01-31,0.5045789268968819
2003-02-28,0.058690105414667536
2003-03-31,0.03152308144263582
2003-04-30,0.05908121496789552
2003-05-31,0.33354783451624165
2003-06-30,0.46457285026668216
2003-07-31,0.5486506235684544
2003-08-31,0.7638315468359635
2003-09-30,0.8396451352390759
2003-10-31,0.8598755259499931
2003-11-30,0.8693355695610194
2003-12-31,0.836238914119098
2004-01-31,0.8374771788875488
2004-02-29,0.7821595152552522
2004-03-31,0.6006327621160846
2004-04-30,0.5166139632542538
2004-05-31,0.2735280863989724
2004-06-30,0.02797675006400324
2004-07-31,0.012731835351144057
2004-08-31,2.4376328856898085e-11
2004-09-30,0.019973844926142865
2004-10-31,0.031437097622754054
2004-11-30,0.003106750061238415
2004-12-31,0.019329503169100284
2005-01-31,3.3841374985112785e-15
2005-02-28,0.009708605640039647
2005-03-31,0.00010000615391690212
2005-04-30,0.011885585728090656
2005-05-31,0.000517872811993231
2005-06-30,0.018136723650444792
2005-07-31,1.9558006331858133e-08
2005-08-31,0.008737027432093734
2005-09-30,0.015379396486532717
2005-10-31,0.028512262537941133
2005-11-30,5.974121839691067e-07
2005-12-31,0.054435887789668784
2006-01-31,0.0546002414184316
2006-02-28,4.000233784737219e-07
2006-03-31,0.006118223366223338
2006-04-30,2.9360370641108153e-06
2006-05-31,0.14163813460144645
2006-06-30,0.1732151896945746
2006-07-31,0.13505819104230854
2006-08-31,0.11837327309267523
2006-09-30,0.06571088951927054
2006-10-31,0.007774998803466675
2006-11-30,0.001742579453108873
2006-12-31,0.04152895650524067
2007-01-31,0.03977110799550361
2007-02-28,0.20336633762276274
2007-03-31,0.3231220706174853
2007-04-30,0.46360871469355824
2007-05-31,0.6135063810101786
2007-06-30,0.7169594580522171
2007-07-31,0.8405812073130102
2007-08-31,0.8758141411603353
2007-09-30,0.8894479353650258
2007-10-31,0.8597489107804964
2007-11-30,0.750308327647653
2007-12-31,0.4422270934537061
2008-01-31,0.17544367011570655
2008-02-29,0.16227118535645407
2008-03-31,0.06730869117879704
2008-04-30,0.008101664453508697
2008-05-31,0.0010270790967031064
2008-06-30,0.0784187614604537
2008-07-31,0.11340347057982386
2008-08-31,0.095329420409406
2008-09-30,0.12995706669942453
2008-10-31,0.09651666941106875
2008-11-30,0.00016364367762037414
2008-12-31,0.0013231707445130988
2009-01-31,1.1169607407576544e-06
2009-02-28,2.7116397428404876e-08
2009-03-31,0.00011022863634843235
2009-04-30,0.0014108778973486006
2009-05-31,0.1330268437215187
2009-06-30,0.40678288635625626
2009-07-31,0.48878739955938233
2009-08-31,0.4783983988325385
2009-09-30,0.5804385309056492
2009-10-31,0.5883797330637748
2009-11-30,0.7090279003410442
2009-12-31,0.7897701168495244
2010-01-31,0.7967006642527164
2010-02-28,0.739328560350797
2010-03-31,0.5837668442084553
2010-04-30,0.48318081471313556
2010-05-31,0.32010807265035995
2010-06-30,0.25359198613222195
2010-07-31,0.1067396764599946
2010-08-31,0.18626968951288075
2010-09-30,0.18495889199595553
2010-10-31,0.19098015448399794
2010-11-30,0.42080172992978937
2010-12-31,0.48492299033942643
2011-01-31,0.5457927147702546
2011-02-28,0.5344879001756617
2011-03-31,0.4260134235045117
2011-04-30,0.08631086201484607
2011-05-31,0.0738111290323279
2011-06-30,0.05954362399924859
2011-07-31,0.002165899445086814
2011-08-31,0.0008200136234196504
2011-09-30,0.48280763182888736
2011-10-31,0.6727973863872299
2011-11-30,0.7600875136861108
2011-12-31,0.7672006392101791
2012-01-31,0.7247585399805674
2012-02-29,0.5642593381000521
2012-03-31,0.34892284993294337
2012-04-30,0.3304419855671178
2012-05-31,0.32420432227788265
2012-06-30,0.2670272103624552
2012-07-31,0.06155979335479694
2012-08-31,0.3706290734179374
2012-09-30,0.46646155158967545
2012-10-31,0.48206691137567015
2012-11-30,0.7917533531445602
2012-12-31,0.9075380908834431
2013-01-31,0.9515269809230693
2013-02-28,0.9626535985092002
2013-03-31,0.9542461840269663
2013-04-30,0.9464863503099529
2013-05-31,0.9185561181291328
2013-06-30,0.8283169071094094
2013-07-31,0.6303605213388492
2013-08-31,0.07384430106956909
2013-09-30,0.08857865894537828
2013-10-31,0.06615958110597468
2013-11-30,0.6087022723262164
2013-12-31,0.8004229530322913
2014-01-31,0.8667636951155389
2014-02-28,0.9334891509086786
2014-03-31,0.953827517594509
2014-04-30,0.95483444768246
2014-05-31,0.9368169327579738
2014-06-30,0.8970344417703361
2014-07-31,0.7796457002397031
2014-08-31,0.44230200393247854
2014-09-30,0.41375296136089734
2014-10-31,0.6304392957267694
2014-11-30,0.8512626880774713
2014-12-31,0.9287465578788441
2015-01-31,0.9532803992940122
2015-02-28,0.956467115092237
2015-03-31,0.9378241872958832
2015-04-30,0.911808511923401
2015-05-31,0.9168653201337122
2015-06-30,0.8861305698933113
2015-07-31,0.807134990607919
2015-08-31,0.5813863934583721
2015-09-30,0.6256058211150004
2015-10-31,0.7699097456996404
2015-11-30,0.9066676849676085
2015-12-31,0.9536775210272523
2016-01-31,0.9746686696014197
2016-02-29,0.9786590171144012
2016-03-31,0.9797049002199772
2016-04-30,0.9749369358137259
2016-05-31,0.986026193724022
2016-06-30,0.9890023112097807
2016-07-31,0.9925249183527568
2016-08-31,0.9936718192571079
2016-09-30,0.9940144261071149
2016-10-31,0.9937289431415278
2016-11-30,0.9935588442529923
2016-12-31,0.9926047810635926
2017-01-31,0.9895593213225979
2017-02-28,0.9824075131555731
2017-03-31,0.9890222825482747
2017-04-30,0.9899442712822811
2017-05-31,0.9889739725027876
2017-06-30,0.9919327894447012
2017-07-31,0.9933524555586646
2017-08-31,0.9933712717415171
2017-09-30,0.9926396279555697
2017-10-31,0.9932635024969815
2017-11-30,0.9924485291491925
2017-12-31,0.9897882346469425
2018-01-31,0.982320687744848
2018-02-28,0.9691551630144924
2018-03-31,0.9451395113116922
2018-04-30,0.9695843632474344
2018-05-31,0.982876507803301
2018-06-30,0.9893945043470207
2018-07-31,0.9919810579825877
2018-08-31,0.9924557504229301
2018-09-30,0.990744576050312
2018-10-31,0.9881834148578019
2018-11-30,0.9785938281115287
2018-12-31,0.9507882543999007
2019-01-31,0.9021820672150662
2019-02-28,0.8345393105070401
2019-03-31,0.8580343513558748
2019-04-30,0.8890235170210438
2019-05-31,0.9467940474123132
2019-06-30,0.9634741904774576
2019-07-31,0.9633800180234974
2019-08-31,0.9507240571377545
2019-09-30,0.9126984090073228
2019-10-31,0.8005217670763947
2019-11-30,0.49248005826265334
2019-12-31,0.3753405557172228
2020-01-31,0.0708622838049494
2020-02-29,0.012320475496410093
2020-03-31,0.0010626427568791136
2020-04-30,0.027562311268754927
2020-05-31,0.019532425418891688
2020-06-30,0.02761367598592708
2020-07-31,0.012372296322377244
2020-08-31,2.085918538752174e-06
2020-09-30,0.0008185492075704373
2020-10-31,9.55337888503648e-10
