series,n,ADF,ADF_p,DFGLS,DFGLS_p,PP,PP_p,KPSS,KPSS_p,ZA,ZA_p
lr_real_A,400,-2.0374066457962825,0.27041615897807114,-1.38580638707479,0.15962117634957573,-1.6128805268493822,0.47646368186399823,0.7424036455775104,0.010027372542989616,-3.3033534337782884,0.7935073592090603
d_lr_real_A,399,-4.767614752113649,6.26988633154602e-05,-1.577805871629452,0.11187803648411981,-22.774429458083144,0.0,0.19944500541877527,0.2691274403553426,,
lp_real_A,400,-1.379152589829933,0.5922288228230563,-1.3759049327530906,0.16241790968923692,-1.3518242697570126,0.6051420907498493,1.5390934184953178,0.0001458288799884743,-2.739394459165617,0.9632209591677571
d_lp_real_A,399,-7.526419722472733,3.674593450665005e-11,-2.6602276335992734,0.007956703742091278,-22.831289203449952,0.0,0.1841912187844192,0.3007098418748984,,
lpr_A,400,-2.073427733556095,0.25533278303313034,-1.3319341816541281,0.1752422379576023,-2.044530814503838,0.2673954468314036,2.0705041644446935,0.0001,-3.6352944029667835,0.5909080053337759
d_lpr_A,399,-8.404546946758611,2.185477252496262e-13,-1.784634479136768,0.07335152436241626,-24.407093749666224,0.0,0.09133639861878105,0.6297000073469092,,
lpr_ALL,400,-1.603257055156921,0.4819571502451363,-0.9718319483169774,0.3045194128367148,-1.596416475543039,0.48539336374962805,2.251330605330725,0.0001,-3.1519073112601252,0.8596629431257315
d_lpr_ALL,399,-9.173658861212028,2.351490826462791e-15,-2.5829906094606057,0.009944128928708273,-21.306552380559722,0.0,0.13770781011674768,0.42990475987415183,,
real_hibor,358,-1.7114239817379673,0.42523631782076426,-1.709757993870804,0.0858641621783181,-2.4565455484027274,0.12640832318247114,1.1509605827363143,0.0011095973244628083,-2.984371516540117,0.9158771713770605
d_real_hibor,357,-5.442599561300173,2.7549327102976236e-06,-1.3121997204037843,0.18121298852250517,-26.142068962243822,0.0,0.08018821850312018,0.6912971069493105,,
real_gs10,388,-2.064993520179207,0.2588217775358688,-1.2267182010713995,0.20861193457708965,-2.386700008566098,0.1455254729978251,0.6685533326987105,0.015181401503073622,-3.5296101562383853,0.660469376462503
d_real_gs10,387,-5.946054773119704,2.2029072580498497e-07,-1.0481575370124843,0.27368421837029455,-24.80296758093203,0.0,0.08675000415149695,0.6544545228100166,,
log_yld_A,320,-1.8479842687027401,0.35691225055988596,-0.8816447999178647,0.34301272404808947,-7.320169129284513,1.1999539519309398e-10,2.0870625357657784,0.0001,-4.079710446183768,0.30372158909237024
d_log_yld_A,314,-10.548328412563045,8.300772410250581e-19,-2.2271240093362694,0.026003518123565182,-47.49453859375668,0.0,0.06843836205715931,0.7621448991264705,,
