horizon,model,RMSE,rel_RW,DM_vs_RW,DM_p,n
1,RW,0.013490466815189584,1.0,0.0,1.0,132
1,RWD,0.01340736012900657,0.9938395989314884,-0.43832176580313803,0.6618750118391068,132
1,AR,0.013846125615084887,1.0263637133368024,0.5500736662641665,0.5832055221852095,132
1,ECM,0.014183279932427897,1.0513557556405861,0.8559075391617907,0.3936117556496428,132
1,GBM,0.014916111989280358,1.1056779719798555,1.217226572310231,0.2257062465511268,132
3,RW,0.01996021061554463,1.0,0.0,1.0,132
3,RWD,0.019048261626039963,0.9543116549684871,-1.0392962032278457,0.30058143418693417,132
3,AR,0.02190008537018023,1.0971870884531079,1.9340489772570693,0.05526340226256066,132
3,ECM,0.021541755580155655,1.0792348835928287,1.192709214053199,0.2351391310692723,132
3,GBM,0.02309218809426643,1.1569110436281005,1.5366844483103108,0.12678243300783754,132
12,RW,0.050175735313021795,1.0,0.0,1.0,132
12,RWD,0.04475385582726893,0.8919422017050986,-0.8736692789051964,0.3838971420048498,132
12,AR,0.048614160605200386,0.9688778909152101,-0.40799169630708076,0.6839458173325177,132
12,ECM,0.05436711005096993,1.0835338976459479,0.2905063522143014,0.7718882798488551,132
12,GBM,0.07937406755776573,1.5819213622399326,1.9176206775147333,0.057335832643846896,132
