date,bsadf,cv90,cv95,cv99,cv95_wb,y
1993-01-31,-inf,,,,,0.44658335503763713
1993-02-28,-inf,,,,,0.45232052538966955
1993-03-31,-inf,,,,,0.4563285986638444
1993-04-30,-inf,,,,,0.4661254448480838
1993-05-31,-inf,,,,,0.4929777633678529
1993-06-30,-inf,,,,,0.5292593254548288
1993-07-31,-inf,,,,,0.5624229864102638
1993-08-31,-inf,,,,,0.5608882146244702
1993-09-30,-inf,,,,,0.5382626634648537
1993-10-31,-inf,,,,,0.5090819441611638
1993-11-30,-inf,,,,,0.5311396292374669
1993-12-31,-inf,,,,,0.5526953450908488
1994-01-31,-inf,,,,,0.6206321995833934
1994-02-28,-inf,,,,,0.6407791950426293
1994-03-31,-inf,,,,,0.7083373460539205
1994-04-30,-inf,,,,,0.6847225309006937
1994-05-31,-inf,,,,,0.6559178387915893
1994-06-30,-inf,,,,,0.650156995628577
1994-07-31,-inf,,,,,0.6268527327201093
1994-08-31,-inf,,,,,0.647477143726757
1994-09-30,-inf,,,,,0.6274270705851855
1994-10-31,-inf,,,,,0.6236977922880738
1994-11-30,-inf,,,,,0.6035350218702581
1994-12-31,-inf,,,,,0.5503491378299882
1995-01-31,-inf,,,,,0.5431610044089271
1995-02-28,-inf,,,,,0.5585043062160171
1995-03-31,-inf,,,,,0.5618247572454045
1995-04-30,-inf,,,,,0.5442071625825775
1995-05-31,-inf,,,,,0.5147692053973627
1995-06-30,-inf,,,,,0.48979146922056443
1995-07-31,-inf,,,,,0.4715085204251558
1995-08-31,-inf,,,,,0.44926773076655735
1995-09-30,-inf,,,,,0.40743555209546317
1995-10-31,-inf,,,,,0.3936306504611616
1995-11-30,-inf,,,,,0.4156916398919958
1995-12-31,-inf,,,,,0.4239211929290751
1996-01-31,-inf,,,,,0.434886087148143
1996-02-29,-inf,,,,,0.45554642804121626
1996-03-31,-inf,,,,,0.49006160829033435
1996-04-30,-1.5586662949938115,-0.3579841803097966,0.04605024809200116,0.7228543359185345,-0.3019626052373457,0.4708960880287552
1996-05-31,-1.6391782005881024,-0.3029433938320685,0.06526562659469974,0.7917017343661716,-0.3251047825044177,0.4818800428809131
1996-06-30,-1.6119268462098733,-0.28334767830851093,0.10188009362331343,0.8978388803169826,-0.3533855466730633,0.48931941854502703
1996-07-31,-1.459993546783627,-0.23758003280057602,0.1564317548084557,1.006413440003005,-0.44678607610445514,0.4858350944624162
1996-08-31,-1.4376256314087208,-0.20575346019083313,0.10842003501340279,0.7895491570424883,-0.3600856585483957,0.5085567628947998
1996-09-30,-1.3531799044380954,-0.193866779253422,0.15752102811210641,1.0273866966055363,-0.40964688210566474,0.5040802356264591
1996-10-31,-1.405945661838477,-0.20628968951830065,0.19162052038461214,0.9142378827565728,-0.34203462849859106,0.5377207684634068
1996-11-30,-1.393819972622764,-0.14745088535336714,0.2387040590972064,0.9182465408121455,-0.29995394700408445,0.5725902180208365
1996-12-31,-1.3121649838729403,-0.10051065467373863,0.21125732223935453,0.9648478321193501,-0.10485672994790958,0.6179776371812646
1997-01-31,-1.0888195594674888,-0.0957409439501135,0.28830884948079555,1.0343280671349973,0.25033307883015804,0.6785382250911198
1997-02-28,-0.7733648035416802,-0.11438240470691047,0.2522393356559799,1.1623551554342106,0.5080103118989088,0.7470703926133826
1997-03-31,-0.634403807685868,-0.14716253847025057,0.2179878676691174,0.9574593140297136,0.40166985318810394,0.7956347207140465
1997-04-30,-1.3910030343757813,-0.09158786793507062,0.2558483532418807,0.9098502902531806,0.5513882356120324,0.7535329773941519
1997-05-31,0.19609157707449848,-0.13436415673741045,0.2524668526622477,1.0215773859464008,0.9155777095996658,0.8424729933605493
1997-06-30,-0.09561260196551995,-0.1538071867755213,0.2087218510793579,0.9853044728759812,0.8393283536312278,0.8380385349744067
1997-07-31,-0.4417402540805109,-0.12460182446870612,0.2177047984519979,1.0021423117856276,0.8444305340520255,0.8017025871142909
1997-08-31,-0.05715137795596513,-0.15358789424352784,0.23928896309432607,0.9569920462840157,0.6940450335455395,0.8234276221280589
