date,lp_real,fitted,ect
1996-07-31,-0.04354080828328833,0.3601974126110081,-0.40373822089429645
1996-08-31,-0.0143765689672582,0.3279423008215338,-0.342318869788792
1996-09-30,-0.025063968663216276,0.3360734074425696,-0.36113737610578583
1996-10-31,0.013906154565009812,0.34567843928692993,-0.3317722847219201
1996-11-30,0.049649908643820566,0.35702907343927637,-0.3073791647954558
1996-12-31,0.09182184732502795,0.3775133288956789,-0.28569148157065094
1997-01-31,0.11341278134472772,0.3783416119248226,-0.26492883058009487
1997-02-28,0.18765005078431818,0.3646787590788614,-0.1770287082945432
1997-03-31,0.23134602707923166,0.3404709414264927,-0.10912491434726104
1997-04-30,0.17344388276193726,0.3145990258506834,-0.14115514308874613
1997-05-31,0.2536386594259866,0.32100977167589134,-0.06737111224990472
1997-06-30,0.24073931320458938,0.28256114393761034,-0.041821830733020954
1997-07-31,0.18615665257789696,0.3237675960292096,-0.13761094345131267
1997-08-31,0.20633643299782858,0.2695978883555214,-0.06326145535769281
1997-09-30,0.20524826034785687,0.22761858727209966,-0.02237032692424279
1997-10-31,0.21608351190348474,0.010848494253236196,0.20523501765024854
1997-11-30,0.1539430170708274,0.0765432598138776,0.07739975725694978
1997-12-31,0.1359305817425042,0.20493162261626605,-0.06900104087376185
1998-01-31,0.09482317245480303,-0.01587456671767118,0.1106977391724742
1998-02-28,0.0975821585015929,0.21759243059820726,-0.12001027209661437
1998-03-31,0.1557140257051634,0.2723352457766952,-0.1166212200715318
1998-04-30,0.11927334889794253,0.28212370751149435,-0.16285035861355182
1998-05-31,0.07230106929506708,0.19472826499290546,-0.12242719569783839
1998-06-30,-0.023716526617316044,0.026677667021843713,-0.05039419363915976
1998-07-31,-0.017439634285356078,0.09024947050453172,-0.1076891047898878
1998-08-31,-0.022706746626133863,-0.13273518291023695,0.11002843628410308
1998-09-30,-0.053372349927138546,0.018374609813088638,-0.07174695974022718
1998-10-31,-0.06871389254805192,0.039943725724217005,-0.10865761827226893
1998-11-30,-0.0019920325312406525,0.013300098473858546,-0.0152921310050992
1998-12-31,0.035023034789563104,-0.020141605386918615,0.05516464017648172
1999-01-31,0.01749315744751712,-0.0012799353190012797,0.0187730927665184
