h,beta,se,lo90,hi90,lo95,hi95
0,-0.007560457827531137,0.00170375058564956,-0.010363127540924662,-0.004757788114137611,-0.010899808975404275,-0.004221106679657999
1,0.016281888068900637,0.003522713713238462,0.010487024010623366,0.022076752127177905,0.009377369190953251,0.023186406946848023
2,0.02564729802222147,0.006204207864682015,0.015441376084819556,0.035853219959623386,0.013487050607444722,0.03780754543699822
3,0.013810552208436314,0.00935482141184112,-0.0015781290140423274,0.029199233430914955,-0.004524897758772281,0.03214600217564491
4,0.0065683022216219585,0.012799665433243939,-0.01448714741606432,0.027623751859308238,-0.01851904202753616,0.03165564647078008
5,-0.010913249661977624,0.01566071764908526,-0.03667513019472288,0.014848630870767628,-0.04160825625418473,0.01978175693022948
6,-0.030436489896824955,0.0180021474956465,-0.060050022527163446,-0.000822957266486464,-0.0657206989882921,0.004847719194642181
7,-0.04666034585745194,0.020101016321296444,-0.0797265177059846,-0.01359417400891929,-0.08605833784719297,-0.007262353867710916
8,-0.03891649958809456,0.02210060773937463,-0.07527199931936582,-0.002560999856823294,-0.08223369075726883,0.00440069158107971
9,-0.04014302231444591,0.02396123339596837,-0.07955925125081388,-0.0007267933780779334,-0.0871070397705439,0.006820995141652096
10,-0.051480542137565026,0.026038201139698132,-0.09431338301236845,-0.008647701262761598,-0.10251541637137336,-0.0004456679037566913
11,-0.05968161000990761,0.028390365858241565,-0.106383761846715,-0.012979458173100235,-0.11532672709206107,-0.004036492927754147
12,-0.06703701875529118,0.03095095687917052,-0.1179513428215267,-0.016122694689055674,-0.1277008942384654,-0.006373143272116966
13,-0.07107595720620061,0.03328053182324606,-0.12582243205544036,-0.016329482356960842,-0.13630579957976288,-0.005846114832638333
14,-0.06735524903517776,0.0360087034173833,-0.12658956615677328,-0.008120931913582229,-0.13793230773324902,0.00322180966289351
15,-0.07097257335321502,0.038809727074025954,-0.13481457438998773,-0.007130572316442332,-0.1470396384183059,0.005094491711875843
16,-0.07356306328414235,0.04183349006376015,-0.1423791544390278,-0.004746972129256899,-0.15555670380911224,0.008430577240827547
17,-0.07142038071314813,0.045096146766894885,-0.14560354214469023,0.0027627807183939618,-0.1598088283762621,0.016968066949965846
18,-0.07041941079544338,0.04837512733013173,-0.14999649525351008,0.009157673662623322,-0.16523466036250156,0.024395838771614817
19,-0.05499654020461126,0.05152597364209866,-0.13975676684586355,0.029763686436641033,-0.15598744854312463,0.04599436813390211
20,-0.05027933019702298,0.054513839252899716,-0.13995459576804303,0.03939593537399706,-0.15712645513270643,0.05656779473866047
21,-0.03825458144766275,0.05765993787830083,-0.13310517925746762,0.05659601636214212,-0.15126805968913237,0.07475889679380687
22,-0.03646883165157657,0.060452763303269194,-0.1359136272854544,0.06297596398230126,-0.15495624772598418,0.08201858442283105
23,-0.02696754711982423,0.06348399226616776,-0.1313987143976702,0.07746362015802173,-0.15139617196151303,0.09746107772186458
24,-0.009522441253605228,0.06667305243347124,-0.11919961250666541,0.10015472999945496,-0.14020162402320888,0.12115674151599841
