h,beta,se,lo90,hi90,lo95,hi95
0,-0.2925927113518069,0.02425107386671048,-0.33248572786254565,-0.2526996948410682,-0.34012481613055945,-0.2450606065730544
1,0.2736452587766317,0.03199707559306875,0.22101006942603363,0.3262804481272298,0.21093099061421697,0.33635952693904647
2,1.0734462944433552,0.03851653283053283,1.0100865979371287,1.1368059909495816,0.9979538900955108,1.1489386987911996
3,0.6402743785156793,0.04057684464872135,0.5735254690685326,0.7070232879628259,0.5607437630041854,0.7198049940271731
4,0.24980311522156165,0.040925713156847864,0.1824803170785469,0.3171259133645764,0.16958871743413984,0.33001751300898347
5,0.23292857755303004,0.043689211990350835,0.1610598238289029,0.30479733127715714,0.14729772205194241,0.31855943305411766
6,0.24367374394238225,0.04713548458113822,0.16613587180640987,0.32121161607835463,0.15128819416335135,0.3360592937214132
7,0.04875960814365117,0.0522833493848634,-0.037246501594449116,0.13476571788175146,-0.05371575665068108,0.15123497293798344
8,0.5495343366080675,0.05438566080020348,0.4600699245917328,0.6389987486244022,0.44293844143966865,0.6561302317764663
9,0.8410073047255782,0.059435706151226134,0.7432355681068111,0.9387790413443452,0.724513320669175,0.9575012887819814
10,0.41793875786082724,0.0644763826247611,0.31187510844309524,0.5240024072785593,0.29156504791629545,0.544312467805359
11,0.2868342201751692,0.06653099329052538,0.17739073621225493,0.39627770413808344,0.15643347332573945,0.41723496702459895
12,0.17603427975192337,0.07398041283726595,0.05433650063462089,0.2977320588692258,0.031032670590882133,0.32103588891296464
13,0.6868153277009681,0.07325253497482002,0.5663149076673891,0.8073157477345471,0.5432403591503209,0.8303902962516153
14,0.756295002942898,0.07681145998991946,0.6299401512594804,0.8826498546263155,0.6057445413626559,0.9068454645231401
15,0.6565343799512339,0.07250410884914535,0.5372651208943897,0.775803639008078,0.514426326606909,0.7986424332955587
16,0.8497700583781355,0.07614822718994678,0.724506224650673,0.9750338921055979,0.7005195330858398,0.9990205836704311
17,0.8150910028328315,0.0714060938363312,0.6976279784720667,0.9325540271935964,0.6751350589136224,0.9550469467520407
18,0.7361603634979954,0.06847933159036428,0.6235118630318461,0.8488088639641447,0.6019408735808814,0.8703798534151094
19,0.7959447983040461,0.06890747608344246,0.6825920001467832,0.9092975964613089,0.6608861451804988,0.9310034514275933
20,0.8072668443862859,0.06723667667601949,0.6966625112542338,0.917871177518338,0.6754829581012878,0.9390507306712841
21,0.7637168316807078,0.06387424995292619,0.6586436905081442,0.8687899728532714,0.6385233017729725,0.8889103615884432
22,0.7840530188517818,0.0596459418752501,0.6859354444669954,0.8821705932365682,0.6671469727762916,0.900959064927272
23,0.7462184447646611,0.06192595739480591,0.6443502448502054,0.8480866446791169,0.6248435682708415,0.8675933212584808
24,0.9156144432763659,0.06230972661514987,0.8131149429944443,1.0181139435582873,0.7934873791106721,1.0377415074420595
