origin,actual,RW,RWD,AR,ECM,GBM
2013-05-31,1.0563609831772995,1.0472151790715378,1.0553121414323658,1.0514991606313948,1.0481819185430408,1.0372981244806734
2013-07-31,1.0853029572993294,1.0578392549547384,1.0665646092679129,1.0595581108180026,1.0578895282275422,1.0702660880829113
2013-09-30,1.0497057032866013,1.0772534271439194,1.0862224226016841,1.0745965852956763,1.0732239227390536,1.0755998829375593
2013-11-30,1.0415218765962333,1.045748799111042,1.0570439025367009,1.0449070738974717,1.0420245659423866,1.0354763239555893
2014-01-31,1.0290465154181383,1.0352749381772797,1.0460495528865184,1.0333393938528965,1.0311030127926628,1.033394628196204
2014-03-31,1.0273363111665896,1.0288810767727035,1.0391564791498138,1.0297444824274404,1.0275565243632225,1.0276908880686328
2014-05-31,1.0487382990595913,1.0382254620160418,1.0475264448264137,1.0442164400149079,1.0418194648794068,1.0337730830768073
2014-07-31,1.1051419834644425,1.0637361730326311,1.0724145484511807,1.0716840943954997,1.0696521571255067,1.0876155303660813
2014-09-30,1.0971346378635964,1.0948641583431231,1.1031374434099916,1.0912123696582698,1.0909614723178689,1.086583248517569
2014-11-30,1.1211423114107542,1.1081431526028598,1.1167475943103466,1.1142823087206017,1.1126804938061077,1.1045788659087854
2015-01-31,1.1619851087102613,1.146840418257621,1.1554187613543827,1.1598213117077891,1.1583538005191816,1.1520295332123007
2015-03-31,1.1930486069574766,1.165280004607114,1.173652586347043,1.1679869737102933,1.16703070806203,1.170914764958766
2015-05-31,1.204968985713316,1.1977450261900842,1.2064271051720437,1.2011528026624008,1.200434399147156,1.200852879875951
2015-07-31,1.2315355652640687,1.2086973090760713,1.2165809632451112,1.2116742678773462,1.2106412579601162,1.205266038652151
2015-09-30,1.186375760276606,1.2141518447679336,1.2216746943087533,1.2074793293364139,1.2073411388653015,1.205107909230298
2015-11-30,1.1220425404764958,1.1543282211905017,1.1606022873199886,1.140673992777978,1.1391379785974873,1.1236931351973551
2016-01-31,1.069802229832416,1.101843309249556,1.1068606200378344,1.0934300378950144,1.0916635194802398,1.0838309513189142
2016-03-31,1.0822809512818887,1.0656323111061274,1.069308317501912,1.0646121265771191,1.062748391551642,1.0548779013269942
2016-05-31,1.0946404473751352,1.092467320840822,1.096200108387539,1.09818757254747,1.0974528175640104,1.0843712060405641
2016-07-31,1.1282754804916684,1.109319029062534,1.1134325582293974,1.117161086407009,1.116073537564189,1.1196146993334024
2016-09-30,1.1811227116681284,1.1552147939804003,1.1598052339051,1.1688978834600898,1.1681556146597187,1.1635993039762937
2016-11-30,1.1859194448902781,1.1857718818758294,1.1917305854834848,1.1890777828669887,1.1885942978246045,1.1852424873075467
2017-01-31,1.2082281298960744,1.1933737007649396,1.1999114866649951,1.1979999877641756,1.1970770074863901,1.2004827533628224
2017-03-31,1.250492819960829,1.2287691998026027,1.2348266419247835,1.2396053164128187,1.2391567311913791,1.2561279954031224
2017-05-31,1.2709275450916482,1.2624015973331366,1.268174212302846,1.269249973392664,1.269195994745839,1.2653895934962276
2017-07-31,1.2762934659055623,1.270851510120552,1.2761765787051265,1.2720676004480542,1.271921393457113,1.2738688061896264
2017-09-30,1.2883991781615567,1.2816383188973282,1.2862856015835065,1.2854151215706802,1.285183470567845,1.2839495026552072
2017-11-30,1.3064915897553218,1.2939210409888755,1.2986981561698014,1.2977950922199217,1.297608803793237,1.3016333055464213
2018-01-31,1.326913148989464,1.3225234336140907,1.3274180654548922,1.3313930657097806,1.3311946090041418,1.3259349575658232
2018-03-31,1.3647768686439308,1.3449968040217701,1.349883598049506,1.354863244091311,1.3544090280676795,1.3632629704471408
2018-05-31,1.3983845405429962,1.3805726289950442,1.3861285864937694,1.389431319499722,1.3894516198579978,1.39014868739113
2018-07-31,1.4031616150851323,1.404699788662606,1.4104807975577371,1.409118906992325,1.4092578483514202,1.414588928080006
2018-09-30,1.3579181242592595,1.3878363814717058,1.3930127640438357,1.3819728028131775,1.3818838664162099,1.3884252306829659
2018-11-30,1.300489424812994,1.3239392469632631,1.3285757544274668,1.3089560816481915,1.3085013628938589,1.2992288430753562
2019-01-31,1.3132769016151344,1.3059533812921094,1.3104646886773565,1.3097849999419224,1.3089126279746317,1.3193164627303766
2019-03-31,1.3758974118795646,1.3477035308495413,1.3530172384174886,1.365452177357968,1.3648006275943214,1.362872687423786
2019-05-31,1.3734235209818992,1.3885645096544297,1.3944034937817362,1.395983087611733,1.3960728000320255,1.388413343882801
2019-07-31,1.35335497576702,1.368911381536283,1.3739976350113439,1.3680551609955465,1.367612304799805,1.3693543905341095
2019-09-30,1.3242708985587184,1.3356829981984288,1.3396966455293506,1.3284238053505775,1.3281149836334762,1.3153603620224614
2019-11-30,1.3259179706563502,1.3418764519075954,1.3457720068960077,1.351545118460292,1.3509643617750202,1.360865956803068
2020-01-31,1.3075297142663627,1.3493249190597134,1.3526996607397483,1.3616856118575877,1.3608162189874597,1.3478414518888882
2020-03-31,1.31845005184782,1.3218219098181598,1.3244309415716773,1.3296635192416935,1.3273874329287938,1.3236324674962805
2020-05-31,1.3464969409476126,1.343950603545674,1.3463873631682672,1.3569644457261791,1.3561788024712507,1.3270085004723933
2020-07-31,1.3412509229520673,1.3723801969315288,1.375108245062453,1.38558469459666,1.3856065418287125,1.371227649210154
2020-09-30,1.3364182782127536,1.3653714746658316,1.3678918018307966,1.3775311829187744,1.3752108919576889,1.365108266360161
2020-11-30,1.3367398768761616,1.3335832598941593,1.3365708438725536,1.3335736743040114,1.3313726699819726,1.3253530161080058
2021-01-31,1.3339104691326176,1.3290486682050449,1.3328354241876363,1.3268582020588702,1.3270349567695288,1.3383509953021995
2021-03-31,1.3456974558689434,1.3450617732865382,1.349718930989545,1.351273468536669,1.3511698476699492,1.3595689552860366
2021-05-31,1.358264498043296,1.3550535348324786,1.3594299717323395,1.3604718349332772,1.36017016936519,1.3604717866350209
2021-07-31,1.3651361356125447,1.367378914127355,1.3716799122117687,1.3727033233117265,1.372516139395586,1.3835492827650466
2021-09-30,1.3564413979702095,1.3895652157154446,1.3934710560776953,1.401705117937949,1.4006915078369944,1.3822511875718382
2021-11-30,1.349165392207256,1.3484034874084943,1.351114014167372,1.3461229760309146,1.3437803984663708,1.3473856389323005
2022-01-31,1.3139009519863691,1.3402862472110468,1.3427347896518154,1.3376182403858132,1.3378503027074105,1.3392542467175708
2022-03-31,1.3175439432648701,1.3062113170407257,1.3075020189946944,1.3039909383924992,1.3020668422804378,1.3184250634165795
2022-05-31,1.3082280582441848,1.3207835501633802,1.3217565827105509,1.3233800811768104,1.3239680555821747,1.3238991272966805
2022-07-31,1.2700213067246486,1.2932806711143554,1.2936544904642522,1.2878520095484653,1.2871735829380255,1.277301791057937
2022-09-30,1.2160384491199632,1.2473654050486238,1.246794189817812,1.2384134856075628,1.2372114092118762,1.2484571935008004
2022-11-30,1.1669224788980144,1.1792465373231074,1.1773352955953444,1.1637032619932912,1.1623832116519637,1.146651753915797
2023-01-31,1.1957407295041353,1.171879303899721,1.1693685684044817,1.1749890230833153,1.1735986111068686,1.1843923945838906
2023-03-31,1.2139984250451237,1.2105227351896686,1.2082815007091336,1.2180755355704407,1.2189188449406532,1.2172202396935243
2023-05-31,1.1943256594464189,1.205115008904713,1.2021907152365408,1.2020825879554118,1.20230664753743,1.1995071220440128
2023-07-31,1.1642196300487522,1.184778357069789,1.1811129998765753,1.1814058481459686,1.18067116441751,1.1875286760199195
2023-09-30,1.1045303872367005,1.1367032846771332,1.1325177330638903,1.1251455010142049,1.124445937272446,1.1200069173532665
2023-11-30,1.0707359191398547,1.0853920772399752,1.0814162910779204,1.0774546171014199,1.075623541154452,1.0686439185925947
2024-01-31,1.0379876668516748,1.0587409574046949,1.0546207503399045,1.0539749769025801,1.0531308957689027,1.0722554467323258
2024-03-31,1.068075564808028,1.0566614281489193,1.0518107264372423,1.0657905263978702,1.063344655163014,1.0714893982949258
2024-05-31,1.0420601191631884,1.0566256698038115,1.0510933558063011,1.0521249056149964,1.0531102724586399,1.0469355936939482
2024-07-31,0.996476143793385,1.01547264448404,1.0095819988665027,1.0040273277051408,1.00373563272766,1.0041730390270402
2024-09-30,0.9902665425263301,0.981408325354041,0.9755037474733012,0.9751024406635115,0.9741132495012269,0.9686447335851953
2024-11-30,0.9831371238722283,0.9919832811453846,0.9861517282993477,0.9933315489113237,0.9936639670092018,0.9914856514390062
2025-01-31,0.9669208229655945,0.9715870430469054,0.9652914117800252,0.9668691615412836,0.966470090896284,0.9709034852027864
2025-03-31,0.9709883631742801,0.9644668340040276,0.958510916073792,0.9638738856200948,0.9634453931967695,0.9665757447802823
