date,bsadf,cv90,cv95,cv99,cv95_wb,y
1993-01-31,-inf,,,,,4.4355674016019115
1993-02-28,-inf,,,,,4.44500143383527
1993-03-31,-inf,,,,,4.450852825603734
1993-04-30,-inf,,,,,4.471638793363569
1993-05-31,-inf,,,,,4.507557357121091
1993-06-30,-inf,,,,,4.552823705615882
1993-07-31,-inf,,,,,4.585987366571318
1993-08-31,-inf,,,,,4.5880240271531205
1993-09-30,-inf,,,,,4.577798989191959
1993-10-31,-inf,,,,,4.5591262474866845
1993-11-30,-inf,,,,,4.582924577040772
1993-12-31,-inf,,,,,4.613138355637268
1994-01-31,-inf,,,,,4.679349584162343
1994-02-28,-inf,,,,,4.71492104994721
1994-03-31,-inf,,,,,4.782479200958502
1994-04-30,-inf,,,,,4.772378104971998
1994-05-31,-inf,,,,,4.7535901911063645
1994-06-30,-inf,,,,,4.754451888703846
1994-07-31,-inf,,,,,4.73444252169223
1994-08-31,-inf,,,,,4.768139014266231
1994-09-30,-inf,,,,,4.7561730595246186
1994-10-31,-inf,,,,,4.760463070394127
1994-11-30,-inf,,,,,4.746669748261791
1994-12-31,-inf,,,,,4.701389043728634
1995-01-31,-inf,,,,,4.700480365792417
1995-02-28,-inf,,,,,4.722063937459591
1995-03-31,-inf,,,,,4.730039168033961
1995-04-30,-inf,,,,,4.724729421045731
1995-05-31,-inf,,,,,4.701389043728634
1995-06-30,-inf,,,,,4.6839813664123815
1995-07-31,-inf,,,,,4.667205576907544
1995-08-31,-inf,,,,,4.653960350157523
1995-09-30,-inf,,,,,4.6210435351443815
1995-10-31,-inf,,,,,4.613138355637268
1995-11-30,-inf,,,,,4.636668853047462
1995-12-31,-inf,,,,,4.6434288981051814
1996-01-31,-inf,,,,,4.65586330030361
1996-02-29,-inf,,,,,4.686750172980514
1996-03-31,-inf,,,,,4.725616339063959
1996-04-30,-2.4616388692280116,-0.3579841803097966,0.04605024809200116,0.7228543359185345,-0.42774837100461094,4.719391330078114
1996-05-31,-2.4161189217271106,-0.3029433938320685,0.06526562659469974,0.7917017343661716,-0.43539477326861803,4.7318028369214575
1996-06-30,-2.4019927723847982,-0.28334767830851093,0.10188009362331343,0.8978388803169826,-0.47130322187678336,4.74493212836325
1996-07-31,-2.448312411672638,-0.23758003280057602,0.1564317548084557,1.006413440003005,-0.503913468946971,4.741447804280639
1996-08-31,-1.9276833260744575,-0.20575346019083313,0.10842003501340279,0.7895491570424883,-0.37953252289940204,4.765586907393996
1996-09-30,-1.8508610235593053,-0.193866779253422,0.15752102811210641,1.0273866966055363,-0.33597358523643334,4.772378104971998
1996-10-31,-1.4569340151991377,-0.20628968951830065,0.19162052038461214,0.9142378827565728,-0.29442483595066526,4.812997033190408
1996-11-30,-1.1807416387688396,-0.14745088535336714,0.2387040590972064,0.9182465408121455,-0.2506844728688418,4.852030263919617
1996-12-31,-0.7116488348383133,-0.10051065467373863,0.21125732223935453,0.9648478321193501,0.0450742103445826,4.901564199041894
1997-01-31,-0.17491260174519227,-0.0957409439501135,0.28830884948079555,1.0343280671349973,0.4195573045775992,4.960744524482791
1997-02-28,0.5216799903901901,-0.11438240470691047,0.2522393356559799,1.1623551554342106,0.657437725831953,5.038898759369115
1997-03-31,1.0768776478512403,-0.14716253847025057,0.2179878676691174,0.9574593140297136,0.5657580528249916,5.088830141681313
