variable,ADF_level,ADF_level_p,ADF_trend,ADF_trend_p,ADF_diff,ADF_diff_p,KPSS_level,KPSS_p,ZA_stat,ZA_p,ZA_break
lp_real,-0.8638060077306405,0.7996578974922989,-1.4857299559162516,0.8339667591518589,-4.995766919562534,2.2625274088333455e-05,2.414560362149822,0.01,-3.0080855595621503,0.9093038142914541,2008-11-30
lpr,-0.9613116392678186,0.7671122619904192,-1.8750042803700127,0.6675207077138686,-14.700880601655182,2.948017047036311e-27,2.7464722750671484,0.01,-2.902449197515231,0.9352387403870579,2008-11-30
linc_real,-2.075461454396668,0.25449544558024134,-4.191761843441449,0.004606921961272256,-4.246264881956476,0.0005496483597311876,2.334104110287021,0.01,-5.245820105190289,0.011889805884404508,2014-09-30
real_blr,-2.2409766119758383,0.19171072671572398,-2.7452990582559313,0.217759325964071,-5.639071115058465,1.0466150401512002e-06,0.5766506410020279,0.02475903263617928,-3.6254901807111723,0.5972595356885382,2007-02-28
lsk_pc,-0.7509987533046846,0.8330939613783392,-2.3048893411139697,0.43124737537258406,-3.640373608634428,0.005034460112283995,2.5430496596247174,0.01,-2.9204683509323983,0.9314743981506646,2008-12-31
