date,lp_real,fitted,ect
1994-01-31,0.6206321995833934,0.6467234799404054,-0.026091280357011915
1994-02-28,0.6407791950426293,0.813707082450243,-0.17292788740761378
1994-03-31,0.7083373460539205,0.9762053230618974,-0.26786797700797693
1994-04-30,0.6847225309006937,0.8055029463838181,-0.12078041548312446
1994-05-31,0.6559178387915893,0.6454252404153422,0.010492598376247053
1994-06-30,0.650156995628577,0.47147451928659123,0.17868247634198575
1994-07-31,0.6268527327201093,0.5814629962531903,0.04538973646691902
1994-08-31,0.647477143726757,0.6659759227050266,-0.01849877897826957
1994-09-30,0.6274270705851855,0.6860562633997027,-0.05862919281451717
1994-10-31,0.6236977922880738,0.6306576829866977,-0.006959890698623905
1994-11-30,0.6035350218702581,0.6111951990774678,-0.007660177207209684
1994-12-31,0.5503491378299882,0.5402246463344262,0.010124491495561938
1995-01-31,0.5431610044089271,0.7774395189384506,-0.23427851452952353
1995-02-28,0.5585043062160171,0.8859696315312569,-0.32746532531523975
1995-03-31,0.5618247572454045,1.0897289674368302,-0.5279042101914257
1995-04-30,0.5442071625825775,0.824142841853039,-0.2799356792704615
1995-05-31,0.5147692053973627,0.5673653573729993,-0.05259615197563661
1995-06-30,0.48979146922056443,0.32237735891647645,0.16741411030408798
1995-07-31,0.4715085204251558,0.3609441126372843,0.11056440778787147
1995-08-31,0.44926773076655735,0.3474204156758063,0.10184731509075107
1995-09-30,0.40743555209546317,0.3615199992778635,0.04591555281759968
1995-10-31,0.3936306504611616,0.3301579287229828,0.0634727217381788
1995-11-30,0.4156916398919958,0.3059422181992524,0.10974942169274343
1995-12-31,0.4239211929290751,0.2740647405766943,0.14985645235238082
1996-01-31,0.434886087148143,0.4960372736270031,-0.06115118647886014
1996-02-29,0.45554642804121626,0.7111640374170314,-0.2556176093758151
1996-03-31,0.49006160829033435,0.9126205440312951,-0.42255893574096076
1996-04-30,0.4708960880287552,0.7143840250890108,-0.24348793706025557
1996-05-31,0.4818800428809131,0.5422876633035898,-0.06040762042267672
1996-06-30,0.48931941854502703,0.35993745264160637,0.12938196590342066
1996-07-31,0.4858350944624162,0.42343509461039375,0.062399999852022436
1996-08-31,0.5085567628947998,0.4452912362913324,0.0632655266034674
1996-09-30,0.5040802356264591,0.4700924742957717,0.03398776133068737
1996-10-31,0.5377207684634068,0.5090512555110145,0.028669512952392284
1996-11-30,0.5725902180208365,0.5704894134880263,0.002100804532810252
1996-12-31,0.6179776371812646,0.6473461339416389,-0.02936849676037423
1997-01-31,0.6785382250911198,0.8258084315449459,-0.14727020645382605
1997-02-28,0.7470703926133826,0.9535258944370959,-0.2064555018237133
1997-03-31,0.7956347207140465,1.1023961506499518,-0.30676142993590527
1997-04-30,0.7535329773941519,0.8492241156414835,-0.09569113824733155
1997-05-31,0.8424729933605493,0.6622303322082601,0.18024266115228915
1997-06-30,0.8380385349744067,0.4447600350893097,0.393278499885097
1997-07-31,0.8017025871142909,0.5421106251007188,0.25959196201357204
1997-08-31,0.8234276221280589,0.6275028680928543,0.1959247540352046
1997-09-30,0.8147543126547323,0.6579316915344862,0.15682262112024614
1997-10-31,0.8232967082876606,0.6569550440796448,0.16634166420801577
1997-11-30,0.7462456777024304,0.6504359828876467,0.09580969481478374
1997-12-31,0.710063654226646,0.6723390170434662,0.037724637183179754
1998-01-31,0.6330548547945678,0.672922465960454,-0.03986761116588622
1998-02-28,0.5797662063041995,0.6246566021386677,-0.04489039583446819
1998-03-31,0.5924116189475752,0.6364790476691873,-0.04406742872161207
1998-04-30,0.5510893229335105,0.40412839459492744,0.1469609283385831
1998-05-31,0.4986224345513882,0.17956457455320773,0.3190578599981805
1998-06-30,0.37396644104879334,-0.04662030924088967,0.420586750289683
1998-07-31,0.33314444652853814,-0.06058358054301394,0.3937280270715521
1998-08-31,0.30278761437413515,-0.039112341805729756,0.3418999561798649
1998-09-30,0.242362592584667,-0.031157050146894932,0.27351964273156193
1998-10-31,0.22943947977102444,-0.14055634337013953,0.36999582314116397
1998-11-30,0.28403303871291086,-0.22186983767609902,0.5059028763890099
1998-12-31,0.332655438094512,-0.2842234222937989,0.6168788603883109
1999-01-31,0.3183333144768093,-0.17135863218063463,0.4896919466574439
